antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'AwayFromElevator', 'KingSizeBed'})",frozenset({'HighFloor'}),0.013029315960912053,0.03908794788273615,0.013029315960912053,1.0,25.583333333333336,0.01252002673768422,inf
"frozenset({'AwayFromElevator', 'HighFloor'})",frozenset({'KingSizeBed'}),0.013029315960912053,0.5244299674267101,0.013029315960912053,1.0,1.906832298136646,0.006196352215938631,inf
frozenset({'AwayFromElevator'}),frozenset({'HighFloor'}),0.016286644951140065,0.03908794788273615,0.013029315960912053,0.8,20.46666666666667,0.012392704431877262,4.80456026058632
frozenset({'AwayFromElevator'}),frozenset({'KingSizeBed'}),0.016286644951140065,0.5244299674267101,0.013029315960912053,0.8,1.5254658385093167,0.004488111279695275,2.37785016286645
frozenset({'AwayFromElevator'}),"frozenset({'KingSizeBed', 'HighFloor'})",0.016286644951140065,0.026058631921824105,0.013029315960912053,0.8,30.7,0.01260490827488886,4.86970684039088
frozenset({'HighFloor'}),frozenset({'KingSizeBed'}),0.03908794788273615,0.5244299674267101,0.026058631921824105,0.6666666666666667,1.2712215320910973,0.005559740686903843,1.42671009771987
frozenset({'Crib'}),frozenset({'KingSizeBed'}),0.019543973941368076,0.5244299674267101,0.013029315960912053,0.6666666666666667,1.2712215320910973,0.0027798703434519217,1.42671009771987
frozenset({'QuietRoom'}),frozenset({'KingSizeBed'}),0.06188925081433225,0.5244299674267101,0.03257328990228013,0.5263157894736842,1.0035959463877082,0.0001167121136563809,1.0039811798769454
"frozenset({'KingSizeBed', 'HighFloor'})",frozenset({'AwayFromElevator'}),0.026058631921824105,0.016286644951140065,0.013029315960912053,0.5,30.7,0.01260490827488886,1.9674267100977199
frozenset({'TwinBed'}),frozenset({'KingSizeBed'}),0.07166123778501629,0.5244299674267101,0.026058631921824105,0.36363636363636365,0.6933935629587804,-0.011522668675529719,0.7473243369008842
frozenset({'HighFloor'}),frozenset({'AwayFromElevator'}),0.03908794788273615,0.016286644951140065,0.013029315960912053,0.33333333333333337,20.46666666666667,0.012392704431877262,1.47557003257329
frozenset({'HighFloor'}),"frozenset({'AwayFromElevator', 'KingSizeBed'})",0.03908794788273615,0.013029315960912053,0.013029315960912053,0.33333333333333337,25.583333333333336,0.01252002673768422,1.480456026058632
