antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'AwayFromElevator', 'KingSizeBed'})",frozenset({'HighFloor'}),0.013029315960912053,0.03908794788273615,0.013029315960912053,1.0,25.583333333333336,0.01252002673768422,inf
"frozenset({'AwayFromElevator', 'HighFloor'})",frozenset({'KingSizeBed'}),0.013029315960912053,0.5244299674267101,0.013029315960912053,1.0,1.906832298136646,0.006196352215938631,inf
frozenset({'AwayFromElevator'}),frozenset({'HighFloor'}),0.016286644951140065,0.03908794788273615,0.013029315960912053,0.8,20.46666666666667,0.012392704431877262,4.80456026058632
frozenset({'AwayFromElevator'}),"frozenset({'HighFloor', 'KingSizeBed'})",0.016286644951140065,0.026058631921824105,0.013029315960912053,0.8,30.7,0.01260490827488886,4.86970684039088
frozenset({'AwayFromElevator'}),frozenset({'KingSizeBed'}),0.016286644951140065,0.5244299674267101,0.013029315960912053,0.8,1.5254658385093167,0.004488111279695275,2.37785016286645
frozenset({'HighFloor'}),frozenset({'KingSizeBed'}),0.03908794788273615,0.5244299674267101,0.026058631921824105,0.6666666666666667,1.2712215320910973,0.005559740686903843,1.42671009771987
frozenset({'Crib'}),frozenset({'KingSizeBed'}),0.019543973941368076,0.5244299674267101,0.013029315960912053,0.6666666666666667,1.2712215320910973,0.0027798703434519217,1.42671009771987
"frozenset({'HighFloor', 'QuietRoom'})",frozenset({'KingSizeBed'}),0.009771986970684038,0.5244299674267101,0.006514657980456026,0.6666666666666667,1.2712215320910973,0.0013899351717259608,1.42671009771987
frozenset({'QuietRoom'}),frozenset({'KingSizeBed'}),0.06188925081433225,0.5244299674267101,0.03257328990228013,0.5263157894736842,1.0035959463877082,0.0001167121136563809,1.0039811798769454
"frozenset({'HighFloor', 'KingSizeBed'})",frozenset({'AwayFromElevator'}),0.026058631921824105,0.016286644951140065,0.013029315960912053,0.5,30.7,0.01260490827488886,1.9674267100977199
frozenset({'TwinBed'}),frozenset({'KingSizeBed'}),0.07166123778501629,0.5244299674267101,0.026058631921824105,0.36363636363636365,0.6933935629587804,-0.011522668675529719,0.7473243369008842
frozenset({'HighFloor'}),"frozenset({'AwayFromElevator', 'KingSizeBed'})",0.03908794788273615,0.013029315960912053,0.013029315960912053,0.33333333333333337,25.583333333333336,0.01252002673768422,1.480456026058632
frozenset({'HighFloor'}),frozenset({'AwayFromElevator'}),0.03908794788273615,0.016286644951140065,0.013029315960912053,0.33333333333333337,20.46666666666667,0.012392704431877262,1.47557003257329
"frozenset({'HighFloor', 'KingSizeBed'})",frozenset({'QuietRoom'}),0.026058631921824105,0.06188925081433225,0.006514657980456026,0.25,4.0394736842105265,0.004901908773567889,1.250814332247557
frozenset({'HighFloor'}),frozenset({'QuietRoom'}),0.03908794788273615,0.06188925081433225,0.009771986970684038,0.25,4.0394736842105265,0.007352863160351834,1.250814332247557
"frozenset({'QuietRoom', 'KingSizeBed'})",frozenset({'HighFloor'}),0.03257328990228013,0.03908794788273615,0.006514657980456026,0.2,5.116666666666667,0.005241434922386445,1.2011400651465798
frozenset({'HighFloor'}),"frozenset({'QuietRoom', 'KingSizeBed'})",0.03908794788273615,0.03257328990228013,0.006514657980456026,0.16666666666666669,5.116666666666667,0.005241434922386445,1.160912052117264
frozenset({'QuietRoom'}),frozenset({'HighFloor'}),0.06188925081433225,0.03908794788273615,0.009771986970684038,0.15789473684210525,4.0394736842105265,0.007352863160351834,1.141083061889251
frozenset({'QuietRoom'}),"frozenset({'HighFloor', 'KingSizeBed'})",0.06188925081433225,0.026058631921824105,0.006514657980456026,0.10526315789473685,4.0394736842105265,0.004901908773567889,1.0885227054991378
frozenset({'KingSizeBed'}),frozenset({'QuietRoom'}),0.5244299674267101,0.06188925081433225,0.03257328990228013,0.062111801242236024,1.0035959463877084,0.0001167121136563809,1.0002372888668378
frozenset({'KingSizeBed'}),frozenset({'TwinBed'}),0.5244299674267101,0.07166123778501629,0.026058631921824105,0.04968944099378882,0.6933935629587804,-0.011522668675529719,0.9768793510889697
frozenset({'KingSizeBed'}),frozenset({'HighFloor'}),0.5244299674267101,0.03908794788273615,0.026058631921824105,0.04968944099378882,1.2712215320910976,0.005559740686903843,1.0111558195482317
frozenset({'KingSizeBed'}),frozenset({'AwayFromElevator'}),0.5244299674267101,0.016286644951140065,0.013029315960912053,0.02484472049689441,1.525465838509317,0.004488111279695275,1.0087761156870474
frozenset({'KingSizeBed'}),"frozenset({'AwayFromElevator', 'HighFloor'})",0.5244299674267101,0.013029315960912053,0.013029315960912053,0.02484472049689441,1.9068322981366461,0.006196352215938631,1.0121164339509119
frozenset({'KingSizeBed'}),frozenset({'Crib'}),0.5244299674267101,0.019543973941368076,0.013029315960912053,0.02484472049689441,1.2712215320910976,0.0027798703434519217,1.0054357974231831
frozenset({'KingSizeBed'}),"frozenset({'HighFloor', 'QuietRoom'})",0.5244299674267101,0.009771986970684038,0.006514657980456026,0.012422360248447206,1.2712215320910976,0.0013899351717259608,1.0026837113064142
