, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
50944,64428,PRT,47,165,42,148.0,14.0,0,0,1,2,2,167,167,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
50957,64460,SWE,72,165,21,444.0,213.0,0,0,2,6,6,28,168,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
50959,64464,PRT,37,165,7,78.0,14.0,0,0,1,2,1,166,166,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
51213,65043,BEL,63,160,3,74.0,18.0,0,0,1,1,1,161,161,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
51267,65151,PRT,57,159,8,74.0,17.0,0,0,1,1,1,160,160,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51335,65301,ESP,54,158,12,74.0,7.0,0,0,1,1,1,159,159,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51336,65302,PRT,61,158,0,59.0,7.0,0,0,1,1,1,159,159,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51337,65303,PRT,32,158,10,236.0,58.0,1,0,4,4,4,55,159,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51342,65311,ESP,49,158,12,74.0,23.5,0,0,1,1,1,159,159,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51343,65312,ESP,40,158,12,74.0,7.0,0,0,1,1,1,159,159,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51344,65313,ESP,47,158,12,74.0,7.0,0,0,1,1,1,159,159,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51345,65314,ESP,49,158,12,74.0,7.0,0,0,1,1,1,159,159,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51351,65332,BRA,53,158,5,222.0,80.0,0,0,1,3,3,161,161,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51387,65420,PRT,47,158,32,326.0,48.0,0,0,2,4,4,118,160,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
