, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
14375,16931,PRT,61,799,12,217.0,39.0,0,0,3,5,3,392,800,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
14458,17014,PRT,67,798,37,341.0,54.0,0,0,5,5,5,40,799,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,1
14639,17197,ITA,57,795,4,490.0,74.5,1,0,2,5,5,602,797,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
14774,17342,BEL,49,794,11,668.0,134.2,0,0,3,7,7,255,798,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
14786,17354,SWE,72,793,16,741.0,205.5,0,0,3,9,9,308,796,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
14974,17549,ESP,51,791,4,3732.0,412.05,1,0,4,16,16,43,796,Corporate,Aviation,0,0,0,0,0,0,0,1,0,0,0,0,0
15384,17960,PRT,37,785,1,1372.0,1366.8,0,0,7,41,19,261,786,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
15440,18016,PRT,55,783,26,132.0,71.5,0,0,8,26,11,52,784,Direct,Direct,0,0,0,0,0,0,0,0,1,0,0,0,0
15481,18058,PRT,34,782,5,477.0,73.0,0,0,6,6,6,279,783,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
15498,18076,FIN,36,781,36,2911.0,302.0,0,0,3,22,11,781,785,Direct,Direct,0,0,0,0,0,0,1,1,0,0,0,0,0
15672,18252,BEL,59,779,6,832.0,245.75,0,1,2,14,8,197,781,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
16220,18814,PRT,34,769,9,222.0,41.0,0,0,3,8,3,37,770,Direct,Direct,0,0,0,0,0,0,1,1,0,0,0,0,0
16655,19271,PRT,38,761,4,1286.0,168.0,0,0,14,16,16,62,763,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
16665,19281,FRA,35,761,9,435.0,33.0,0,0,3,6,4,553,762,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
16963,19587,PRT,34,754,6,401.0,79.0,0,0,4,5,5,12,756,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
17135,19774,PRT,45,750,2,175.0,31.0,1,0,4,7,4,91,751,Direct,Complementary,0,0,0,0,0,0,0,1,0,0,0,0,0
17272,19918,PRT,49,747,0,680.0,85.5,0,0,7,8,8,427,748,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
